TCGA-A7-A13D-01A-13R-A12P-07	TCGA-E9-A1RH-11A-34R-A169-07
ADAT1	759	985
ADAT2	262	332
ADAT3	98	13
ADCK1	429	378
ADCK2	1830	1136
ADCK5	624	206
ADCY1	765	583
ADCY10	9	13
ADCY2	149	432
ADCY3	1316	2955
ADCY4	492	2337
ADCY5	71	4041
ADCY6	3379	10082
ADCY7	1198	739
ADCY8	1	13
ADCY9	2111	2131
ADCYAP1	1	30
ADCYAP1R1	82	2158
ADD1	8776	21380
ADD2	555	449
ADD3	4261	12125
ADGB	0	1
ADGRA1	0	0
ADGRA2	1682	6278
ADGRA3	2983	3349
ADGRB1	108	38
ADGRB2	509	665
ADGRB3	1	93
ADGRD1	6	2112
ADGRE1	78	24
ADGRE2	512	159
ADGRE3	5	6
ADGRE5	863	2313
ADGRF1	269	26
ADGRF2	18	1
ADGRF3	18	51
ADGRF4	56	1
ADGRF5	2546	12023
ADGRG1	13593	3815
ADGRG2	86	1069
ADGRG3	25	61
ADGRG4	0	18
ADGRG5	121	51
ADGRG6	1303	1046
ADGRG7	0	0
ADGRL1	4198	3394
ADGRL2	5658	4834
ADGRL3	34	501
ADGRL4	1325	7313
ADGRV1	75	219
ADH1A	0	532
ADH1B	3	260667
ADH1C	1	1088
ADH4	4	38
ADH5	5014	15067
ADH6	15	21
ADH7	22	1
ADHFE1	17	661
ADI1	6950	5815
ADIG	0	0
ADIPOQ	6	193006
ADIPOR1	5733	6079
ADIPOR2	5517	13697
ADIRF	0	0
ADK	1807	2268
ADM	5422	4659
ADM2	1663	55
ADM5	47	91
ADNP	11970	6683
ADNP2	2141	1453
ADO	1982	1472
ADORA1	722	840
ADORA2A	8	5
ADORA2B	634	241
ADORA3	30	205
ADPGK	2062	1920
ADPRH	1140	1314
ADPRHL1	347	365
ADPRM	232	516
ADRA1A	6	696
ADRA1B	139	423
ADRA1D	43	6
ADRA2A	107	7083
ADRA2B	129	174
ADRA2C	157	272
ADRB1	12	1022
ADRB2	6	1526
ADRB3	1	41
ADRM1	4962	1191
ADSL	226	159
ADTRP	38	115
AEBP1	60824	38692
AEBP2	1845	1734
AEN	1767	547
AFAP1	1753	618
AFAP1L1	1031	3565
AFAP1L2	318	1368
AFF1	2085	10555
AFF2	94	273
AFF3	99	1919
AFF4	5203	7946
AFG3L1P	476	443
AFG3L2	3564	2515
AFM	0	0
AFMID	2087	930
AFP	1	28
AFTPH	3547	2990
AGA	1231	1064
AGAP1	4847	2934
AGAP11	5	70
AGAP2	60	188
AGAP3	6140	2679
AGAP4	67	96
AGAP5	0	2
AGAP6	32	14
AGAP9	95	132
AGBL1	2	4
AGBL2	30	23
AGBL3	54	127
AGBL4	28	56
AGBL5	1611	1568
AGER	64	119
AGFG1	5768	5697
AGFG2	641	892
AGGF1	410	929
AGK	2204	1331
AGL	1794	4360
AGMAT	100	40
AGMO	12	252
AGO1	2724	3456
AGO2	8237	3473
AGO3	1554	2159
AGO4	1659	1893
AGPAT1	1569	1946
AGPAT2	4446	26931
AGPAT3	6344	6769
AGPAT4	1242	818
AGPAT5	1543	945
AGPS	3059	4729
AGR2	232	1343
AGR3	15	160
AGRN	33996	3582
AGRP	7	0
AGT	92	315
AGTPBP1	638	1641
AGTR1	24	3808
AGTR2	0	0
AGTRAP	2005	1303
AGXT	2	59
AGXT2	10	11
AHCTF1	7233	3499
AHCY	12776	3605
AHCYL1	10556	14332
AHCYL2	1495	1985
AHDC1	4019	1585
AHI1	1364	1221
AHNAK	50078	351132
AHNAK2	9873	6468
AHR	2207	2979
AHRR	2	1
AHSA1	5941	3273
AHSG	0	0
AHSP	0	3
AICDA	1	2
AIDA	1293	3737
AIF1	226	1174
AIF1L	5203	7313
AIFM1	3694	3001
AIFM2	968	9140
AIFM3	54	34
AIG1	987	4611
AIM2	78	37
AIMP1	2419	2860
AIMP2	896	391
AIP	2118	2139
AIPL1	1	1
AIRE	2	2
AJAP1	39	116
AJUBA	1224	632
AK1	356	295
AK2	9385	6551
AK3	1788	12585
AK4	4790	9249
AK5	189	839
AK6	407	786
AK7	24	73
AK8	30	89
AK9	220	418
AKAP1	3703	6624
AKAP10	956	1874
AKAP11	2521	6827
AKAP12	1477	25264
AKAP13	5622	8146
AKAP14	0	0
AKAP17A	1952	1292
AKAP3	65	91
AKAP4	0	0
AKAP5	91	156
AKAP6	114	583
AKAP7	239	867
AKAP8	1404	1132
AKAP8L	1154	891
AKAP9	5235	4717
AKIP1	479	583
AKIRIN1	4034	3400
AKIRIN2	1695	2136
AKNA	1368	1805
AKNAD1	5	25
AKR1A1	6455	4055
AKR1B1	2303	2854
AKR1B10	20	24
AKR1B15	787	43
AKR1C1	674	10697
AKR1C2	652	11595
AKR1C3	1348	6481
AKR1C4	1	4
AKR1D1	3	1
AKR1E2	233	110
AKR7A2	2209	2399
AKR7A3	37	55
AKT1	9444	5310
AKT1S1	7029	2433
AKT2	16905	13038
AKT3	4716	4661
AKTIP	1393	1922
ALAD	1731	8046
ALAS1	4275	2769
ALAS2	3	2
ALB	14	305
ALCAM	3016	2980
ALDH16A1	3407	744
ALDH18A1	8383	3063
ALDH1A1	55	12054
ALDH1A2	46	1108
ALDH1A3	540	747
ALDH1B1	3927	2121
ALDH1L1	22	9110
ALDH1L2	1674	1175
ALDH2	860	61594
ALDH3A1	29	38
ALDH3A2	2358	12945
ALDH3B1	470	648
ALDH3B2	1371	1120
ALDH4A1	1533	9651
ALDH5A1	484	3027
ALDH6A1	618	11684
ALDH7A1	9520	4736
ALDH8A1	30	53
ALDH9A1	2424	15866
ALDOA	639	233
ALDOB	6	52
ALDOC	2165	5386
ALG1	835	639
ALG10	149	230
ALG10B	403	873
ALG11	303	424
ALG12	532	529
ALG13	835	1474
ALG14	561	819
ALG1L2	40	4
ALG2	1611	1637
ALG3	2235	1085
ALG5	1018	1749
ALG6	1072	675
ALG8	1493	2220
ALG9	149	757
ALK	104	77
ALKBH1	459	501
ALKBH2	829	442
ALKBH3	840	1011
ALKBH4	685	375
ALKBH5	6116	5628
ALKBH6	118	43
ALKBH7	956	975
ALKBH8	773	651
ALLC	0	0
ALMS1	2706	1958
ALOX12	45	91
ALOX12B	13	3
ALOX15	38	71
ALOX15B	160	438
ALOX5	499	773
ALOX5AP	487	1028
ALOXE3	21	9
ALPI	0	0
ALPK1	722	1393
ALPK2	121	80
ALPK3	711	6233
ALPL	1639	2388
ALPP	6	0
ALS2	1811	1634
ALS2CL	690	1247
ALX1	0	17
ALX3	0	0
ALX4	6	322
ALYREF	7480	1066
AMACR	72	33
AMBN	1	1
AMBP	6	13
AMBRA1	1923	2005
AMD1	7190	3726
AMDHD1	13	28
AMDHD2	551	300
AMELX	0	0
AMELY	0	0
AMER1	1656	497
AMER2	0	0
AMER3	0	1
AMFR	4691	7132
AMH	5	5
AMHR2	0	4
AMIGO1	423	1581
AMIGO2	2077	2374
AMIGO3	0	0
AMMECR1	2068	567
AMMECR1L	3090	2122
AMN	6	9
AMN1	98	184
AMOT	7729	2937
AMOTL1	3805	7360
AMOTL2	5250	7727
AMPD1	2	68
